"Demog" "lCI" "Median" "uCI"
"2001" "fec1" "0.0381558294806741" "0.0699150824085412" "0.118227574858628"
"2002" "fec1" "0.284209029617992" "0.435665865063387" "0.631994448338367"
"2003" "fec1" "0.0251103049069737" "0.0526789448825057" "0.0984363735502057"
"2004" "fec1" "0.378734603070031" "0.52371980165205" "0.714643571768361"
"2005" "fec1" "0.0486311214338918" "0.0881009031235812" "0.144507202068279"
"2006" "fec1" "0.195904074409782" "0.319503478863762" "0.495142294316384"
"2007" "fec1" "0.143784335687398" "0.215564127439497" "0.323053197601651"
"2008" "fec1" "0.04569812321565" "0.0860799350082229" "0.148191300238146"
"2009" "fec1" "0.1135800011221" "0.184534156350084" "0.290289569715216"
"2010" "fec1" "0.0459616669895991" "0.0906716538722748" "0.161738452387983"
"2011" "fec1" "0.298970379424278" "0.412150149991864" "0.549644721741925"
"2012" "fec1" "0.033650365109632" "0.0617619264283437" "0.107392728951468"
"2013" "fec1" "0.111981215901221" "0.201607228517669" "0.32657799376301"
"2014" "fec1" "0.110050045186018" "0.189594324112347" "0.297711585789393"
"2015" "fec1" "0.0521241867073746" "0.111279730873723" "0.188769028499222"
"2016" "fec1" "0.110466157150396" "0.212165644294275" "0.339817000848629"
"2017" "fec1" "0.0835446312632149" "0.142758017574458" "0.229528224438694"
"2018" "fec1" "0.211367550956405" "0.330295113550473" "0.486168819725209"
"2019" "fec1" "0.133004612532569" "0.223474385255185" "0.332781714393328"
"2020" "fec1" "0.00813683686125387" "0.0282193285888515" "0.0745957082947865"
"1973" "fec2" "0.128280535217516" "0.206440555430057" "0.321813642824599"
"1974" "fec2" "0.231532713648364" "0.361448236887496" "0.545618447377598"
"1975" "fec2" "0.0579106161362245" "0.115536312761531" "0.20536288324753"
"1976" "fec2" "0.254888931978595" "0.367408764168989" "0.518034293750864"
"1977" "fec2" "0.10093113192135" "0.186319242394397" "0.352145166282611"
"1978" "fec2" "0.0612115818852334" "0.136879796969039" "0.24225633579317"
"1979" "fec2" "0.530388953283536" "0.783840605361664" "1.15124124078918"
"1980" "fec2" "0.136427793373536" "0.23411098798634" "0.383088675854698"
"1981" "fec2" "0.0906874359678256" "0.157688884617547" "0.258013953207388"
"1982" "fec2" "0.182142207464551" "0.278151198659231" "0.420171620855156"
"1983" "fec2" "0.180161219940733" "0.297875412128892" "0.480739672106023"
"1984" "fec2" "0.0363460765576391" "0.0750509772594996" "0.147850192787849"
"1985" "fec2" "0.248349137193617" "0.392592671059497" "0.617257409885875"
"1986" "fec2" "0.212090091470073" "0.401876775215072" "0.66886734031135"
"1987" "fec2" "0.411054950196014" "0.604814915538" "0.884610352910839"
"1988" "fec2" "0.0208705018265194" "0.054499045315651" "0.101194069805873"
"1989" "fec2" "0.128868039665522" "0.21504914331574" "0.345924192263961"
"1990" "fec2" "0.356301186472517" "0.604062308194223" "0.986757874851527"
"1991" "fec2" "0.0905548337701038" "0.163905974473944" "0.274398083621104"
"1992" "fec2" "0.165499603289521" "0.268241148702017" "0.391063070511608"
"1993" "fec2" "0.0469040740762995" "0.107740337414148" "0.191746066737793"
"1994" "fec2" "0.068102133248426" "0.135779471225438" "0.24281460014789"
"1995" "fec2" "0.27017656796476" "0.443806808407281" "0.67633057709544"
"1996" "fec2" "0.0747287432993662" "0.142673119907588" "0.250570924444027"
"1997" "fec2" "0.0789602765530833" "0.15725060331245" "0.274701553800849"
"1998" "fec2" "0.21372187134607" "0.359747455621093" "0.562172183656446"
"1999" "fec2" "0.0911048560705614" "0.161437545371252" "0.282031080178972"
"2000" "fec2" "0.353807043532718" "0.539566558502659" "0.785343713528492"
"2001" "fec2" "0.0465029903336101" "0.102274548534739" "0.192201692163577"
"2002" "fec2" "0.409381158522691" "0.568562501687469" "0.798650362085233"
"2003" "fec2" "0.0446101495112549" "0.0897912695505995" "0.177948189574475"
"2004" "fec2" "0.437826711906706" "0.669922263058741" "1.00787986369743"
"2005" "fec2" "0.0736882785149923" "0.141187263045937" "0.256140685972959"
"2006" "fec2" "0.184221341644431" "0.349120981770339" "0.564065285735457"
"2007" "fec2" "0.18633332399405" "0.325947295435819" "0.573957604155158"
"2008" "fec2" "0.0717682436760052" "0.136147045111389" "0.23763686644416"
"2009" "fec2" "0.1488752998822" "0.275148433549684" "0.46529038865983"
"2010" "fec2" "0.067676478021229" "0.14014464654834" "0.257942261857775"
"2011" "fec2" "0.419250969115457" "0.625149649006763" "0.923928631892825"
"2012" "fec2" "0.0347803125938845" "0.0766865696875441" "0.141102270745972"
"2013" "fec2" "0.148966272375546" "0.267099114530691" "0.438175738958644"
"2014" "fec2" "0.152353387170514" "0.267726299466463" "0.429548344303321"
"2015" "fec2" "0.0682131881626889" "0.151988699542633" "0.271825364836097"
"2016" "fec2" "0.214854581594068" "0.362276416909662" "0.566960744073301"
"2017" "fec2" "0.116625817133673" "0.200072875173558" "0.321850110185453"
"2018" "fec2" "0.283172980952772" "0.461122812591676" "0.693507135942"
"2019" "fec2" "0.169705477760301" "0.321258452426755" "0.515759700520227"
"2020" "fec2" "0.0132098554929112" "0.0440051163889895" "0.108475841772831"
"1973" "fec3" "0.107812229673534" "0.194440227427293" "0.318666198098063"
"1974" "fec3" "0.215367002422472" "0.337124446491918" "0.537122832811492"
"1975" "fec3" "0.0487212849577836" "0.120881245616651" "0.238000967086476"
"1976" "fec3" "0.217543998348187" "0.376710121445561" "0.614306646046363"
"1977" "fec3" "0.123190078447292" "0.224991202340205" "0.375506639922838"
"1978" "fec3" "0.0704835302069112" "0.156382577303692" "0.303189478808877"
"1979" "fec3" "0.38256645672235" "0.664950427264894" "1.17637527269864"
"1980" "fec3" "0.118753807597707" "0.231368624054887" "0.405379260663601"
"1981" "fec3" "0.0522356350710492" "0.141602054090917" "0.262472944740638"
"1982" "fec3" "0.164718324963694" "0.290209876541712" "0.471538921487861"
"1983" "fec3" "0.101303836323556" "0.210718546234707" "0.3594036359011"
"1984" "fec3" "0.0283323280378877" "0.0894890411991837" "0.198676733266161"
"1985" "fec3" "0.24895728088897" "0.421876393206255" "0.765231959759488"
"1986" "fec3" "0.227273883270951" "0.42166600324931" "0.751253080066684"
"1987" "fec3" "0.201128439098098" "0.39708109623902" "0.724655401960952"
"1988" "fec3" "0.016537587314579" "0.0611261064478599" "0.141578559608102"
"1989" "fec3" "0.13848775700986" "0.249474739833377" "0.418079379673363"
"1990" "fec3" "0.357786854301213" "0.565866645235702" "0.847188717433459"
"1991" "fec3" "0.0547454247484436" "0.139051081156551" "0.283418845862227"
"1992" "fec3" "0.153541414760819" "0.279408778777546" "0.468521246652604"
"1993" "fec3" "0.0381537865164715" "0.100539479475744" "0.194515857103345"
"1994" "fec3" "0.0587596957967884" "0.144456723587666" "0.28310906714266"
"1995" "fec3" "0.175448021999151" "0.370944141490869" "0.636819671297988"
"1996" "fec3" "0.0861475697469604" "0.178234290280758" "0.377437804582023"
